"Number","Method","Time","Count","SelfTime"
"226","org.apache.maven.repository.internal.DefaultVersionRangeResolver.setSyncContextFactory (Lorg/eclipse/aether/impl/SyncContextFactory;)Lorg/apache/maven/repository/internal/DefaultVersionRangeResolver;","3","1","2"
"227","org.apache.maven.repository.internal.DefaultVersionRangeResolver.setRepositoryEventDispatcher (Lorg/eclipse/aether/impl/RepositoryEventDispatcher;)Lorg/apache/maven/repository/internal/DefaultVersionRangeResolver;","2","1","2"
"228","org.apache.maven.repository.internal.MavenRepositorySystemUtils.newServiceLocator ()Lorg/eclipse/aether/impl/DefaultServiceLocator;","16933","2","15642"
"229","org.eclipse.aether.impl.DefaultServiceLocator.<init> ()V","1194","2","1194"
"230","org.eclipse.aether.impl.DefaultServiceLocator.addService (Ljava/lang/Class;Ljava/lang/Class;)Lorg/eclipse/aether/impl/DefaultServiceLocator;","97","10","97"
"231","org.apache.maven.repository.internal.DefaultVersionResolverTest.setUp ()V","148095","2","41"
"232","org.apache.maven.repository.internal.RemoteSnapshotMetadataTest.gregorianCalendarIsUsed ()V","30989","1","2511"
"233","org.apache.maven.repository.internal.RemoteSnapshotMetadataTest.gregorianDate ()Ljava/lang/String;","21789","2","11541"
"234","java.text.SimpleDateFormat.<init> (Ljava/lang/String;)V","9704","3","9704"
"235","java.text.SimpleDateFormat.format (Ljava/util/Date;)Ljava/lang/String;","469","2","469"
"236","org.apache.maven.repository.internal.RemoteSnapshotMetadata.<clinit> ()V","97","1","11"
"237","java.util.TimeZone.getTimeZone (Ljava/lang/String;)Ljava/util/TimeZone;","86","1","86"
"238","java.util.GregorianCalendar.<init> ()V","77","3","77"
"239","java.text.SimpleDateFormat.setTimeZone (Ljava/util/TimeZone;)V","18","2","18"
"240","java.util.Date.<init> ()V","17","3","17"
"241","java.text.SimpleDateFormat.setCalendar (Ljava/util/Calendar;)V","9","2","9"
